Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Model-Integrated Development of Cyber-Physical Systems","Software Technologies for Embedded and Ubiquitous Systems","","","","10.1007/978-3-540-87785-1_5","Gabor KarsaiJanos Sztipanovits","2008","http://link.springer.com/chapter/10.1007/978-3-540-87785-1_5","Chapter"
"A Framework for Dependable Development Process of Complex Computerised Systems","Probabilistic Safety Assessment and Management","","","","10.1007/978-0-85729-410-4_146","Atoosa P-J Thunem","2004","http://link.springer.com/chapter/10.1007/978-0-85729-410-4_146","Chapter"
"M","StarBriefs 2001","","","","10.1007/978-94-011-4351-6_13","André Heck","2001","http://link.springer.com/chapter/10.1007/978-94-011-4351-6_13","Chapter"
"Modeling and Automatic Failure Analysis of Safety-Critical Systems Using Extended Safecharts","Computer Safety, Reliability, and Security","","","","10.1007/978-3-540-75101-4_43","Yean-Ru ChenPao-Ann HsiungSao-Jie Chen","2007","http://link.springer.com/chapter/10.1007/978-3-540-75101-4_43","Chapter"
"FPTC: Automated Safety Analysis for Domain-Specific Languages","Models in Software Engineering","","","","10.1007/978-3-642-01648-6_25","Richard F. PaigeLouis M. RoseXiaocheng GeDimitrios S. KolovosPhillip J. Brooke","2009","http://link.springer.com/chapter/10.1007/978-3-642-01648-6_25","Chapter"
"SecTOOL – Supporting Requirements Engineering for Access Control","Emerging Trends in Information and Communication Security","","","","10.1007/11766155_18","Steffen KolarczykManuel KochKlaus-Peter LöhrKarl Pauls","2006","http://link.springer.com/chapter/10.1007/11766155_18","Chapter"
"A Combined Process for Elicitation and Analysis of Safety and Security Requirements","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-642-31072-0_24","Christian RaspotnigPeter KarpatiVikash Katta","2012","http://link.springer.com/chapter/10.1007/978-3-642-31072-0_24","Chapter"
"Workshops at the UML 2004 Conference","«UML» 2004 — The Unified Modeling Language. Modeling Languages and Applications","","","","10.1007/978-3-540-30187-5_31","Ambrosio Toval","2004","http://link.springer.com/chapter/10.1007/978-3-540-30187-5_31","Chapter"
"World Directory of Robotics Research and Development Activities","The World Yearbook of Robotics Research and Development","","","","10.1007/978-94-011-9708-3_9","Dr. Peter B. Scott","1986","http://link.springer.com/chapter/10.1007/978-94-011-9708-3_9","Chapter"
"Support for Analysis, Design, and Implementation Stages with MASDK","Agent-Oriented Software Engineering IX","","","","10.1007/978-3-642-01338-6_20","Vladimir GorodetskyOleg KarsaevVladimir SamoylovVictor Konushy","2009","http://link.springer.com/chapter/10.1007/978-3-642-01338-6_20","Chapter"
"Towards Better Product and Process Modelling","Modelling in Mechanical Engineering and Mechatronics","","","","10.1007/978-1-84628-909-5_4","","2007","http://link.springer.com/chapter/10.1007/978-1-84628-909-5_4","Chapter"
"A Controlled Experiment on Component Fault Trees","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-40793-2_26","Jessica JungAndreas JedlitschkaKai HöfigDominik DomisMartin Hiller","2013","http://link.springer.com/chapter/10.1007/978-3-642-40793-2_26","Chapter"
"EuroTRUSTAmI workshop : European R&D towards trusted Ambient Intelligence","Developing Ambient Intelligence","","","","10.1007/978-2-287-78544-3_17","","2008","http://link.springer.com/chapter/10.1007/978-2-287-78544-3_17","Chapter"
"Goal-Based Domain Modeling as a Basis for Cross-Disciplinary Systems Engineering","Intentional Perspectives on Information Systems Engineering","","","","10.1007/978-3-642-12544-7_5","Matthias JarkeHans W. NissenThomas RoseDominik Schmitz","2010","http://link.springer.com/chapter/10.1007/978-3-642-12544-7_5","Chapter"
"Dependability and Performance Assessment of Dynamic CONNECTed Systems","Formal Methods for Eternal Networked Software Systems","","","","10.1007/978-3-642-21455-4_11","Antonia BertolinoAntonello CalabróFelicita Di GiandomenicoNicola Nostro","2011","http://link.springer.com/chapter/10.1007/978-3-642-21455-4_11","Chapter"
"Verification and Analysis of Autonomic Systems for Networked Enterprises","Methodologies and Technologies for Networked Enterprises","","","","10.1007/978-3-642-31739-2_8","Antonia BertolinoGuglielmo De AngelisFelicita Di GiandomenicoEda MarchettiAntonino SabettaPaola Spoletini","2012","http://link.springer.com/chapter/10.1007/978-3-642-31739-2_8","Chapter"
"Security risk mitigation for information systems","BT Technology Journal","","25","1","10.1007/s10550-007-0014-8","V. PageM. DixonI. Choudhury","2007","http://link.springer.com/article/10.1007/s10550-007-0014-8","Article"
"Towards a General Component Model for Web-Based Applications","Annals of Software Engineering","","13","1 - 4","10.1023/A:1016589208824","Colin AtkinsonChristian BunseHans-Gerhard GroßThomas Kühne","2002","http://link.springer.com/article/10.1023/A%3A1016589208824","Article"
"Taming the Cloud: Safety, Certification and Compliance for Software Services","Service-Oriented Computing - ICSOC 2011 Workshops","","","","10.1007/978-3-642-31875-7_2","Howard FosterGeorge Spanoudakis","2012","http://link.springer.com/chapter/10.1007/978-3-642-31875-7_2","Chapter"
"The EternalS Roadmap – Defining a Research Agenda for Eternal Systems","Trustworthy Eternal Systems via Evolving Software, Data and Knowledge","","","","10.1007/978-3-642-45260-4_10","Robert Mullins","2013","http://link.springer.com/chapter/10.1007/978-3-642-45260-4_10","Chapter"
"Semantics, calculi, and analysis for object-oriented specifications","Acta Informatica","","46","4","10.1007/s00236-009-0093-8","Achim D. BruckerBurkhart Wolff","2009","http://link.springer.com/article/10.1007/s00236-009-0093-8","Article"
"ESMRMB 2009 Congress, Antalya, Turkey, 1–3 October: EPOS tm Posters / Paper Posters / Info-RESO","Magnetic Resonance Materials in Physics, Biology and Medicine","","22","1","10.1007/s10334-009-0178-y","","2009","http://link.springer.com/article/10.1007/s10334-009-0178-y","Article"
"Computer-aided Support for Secure Tropos","Automated Software Engineering","","14","3","10.1007/s10515-007-0013-5","Fabio MassacciJohn MylopoulosNicola Zannone","2007","http://link.springer.com/article/10.1007/s10515-007-0013-5","Article"
"Intelligent Transport Systems - The Role of a Safety Loop for Holistic Safety Management","Computer Safety, Reliability, and Security","","","","10.1007/978-3-319-10557-4_2","Kenneth ÖstbergMartin TörngrenFredrik AsplundMagnus Bengtsson","2014","http://link.springer.com/chapter/10.1007/978-3-319-10557-4_2","Chapter"
"Tools for secure systems development with UML","International Journal on Software Tools for Technology Transfer","","9","5 - 6","10.1007/s10009-007-0048-8","Jan JürjensPasha Shabalin","2007","http://link.springer.com/article/10.1007/s10009-007-0048-8","Article"
"Future of Resilience Assessment: The AMBER Research Roadmap","Resilience Assessment and Evaluation of Computing Systems","","","","10.1007/978-3-642-29032-9_20","Andrea BondavalliHenrique MadeiraPaolo Lollini","2012","http://link.springer.com/chapter/10.1007/978-3-642-29032-9_20","Chapter"
"Testing of Safety-Critical Systems – a Structural Approach to Test Case Design","Advances in Systems Safety","","","","10.1007/978-0-85729-133-2_12","Armin BeerBernhard Peischl","2011","http://link.springer.com/chapter/10.1007/978-0-85729-133-2_12","Chapter"
"Multiformalism and Transformation Inheritance for Dependability Analysis of Critical Systems","Integrated Formal Methods","","","","10.1007/978-3-642-16265-7_16","Stefano MarroneCamilla PapaValeria Vittorini","2010","http://link.springer.com/chapter/10.1007/978-3-642-16265-7_16","Chapter"
"On Security Countermeasures Ranking through Threat Analysis","Computer Safety, Reliability, and Security","","","","10.1007/978-3-319-10557-4_27","Nicola NostroIlaria MatteucciAndrea CeccarelliFelicita Di GiandomenicoFabio MartinelliAndrea Bondavalli","2014","http://link.springer.com/chapter/10.1007/978-3-319-10557-4_27","Chapter"
"Compositional Modeling for Data-Centric Business Applications","Software Composition","","","","10.1007/978-3-540-78789-1_15","Ethan K. JacksonWolfram Schulte","2008","http://link.springer.com/chapter/10.1007/978-3-540-78789-1_15","Chapter"
"Extending Model Checking with Dynamic Analysis","Verification, Model Checking, and Abstract Interpretation","","","","10.1007/978-3-540-78163-9_15","Alex GroceRajeev Joshi","2008","http://link.springer.com/chapter/10.1007/978-3-540-78163-9_15","Chapter"
"Social Modeling and i*","Conceptual Modeling: Foundations and Applications","","","","10.1007/978-3-642-02463-4_7","Eric S. Yu","2009","http://link.springer.com/chapter/10.1007/978-3-642-02463-4_7","Chapter"
"A review of attacks and security approaches in open multi-agent systems","Artificial Intelligence Review","","42","4","10.1007/s10462-012-9343-1","Shahriar BijaniDavid Robertson","2014","http://link.springer.com/article/10.1007/s10462-012-9343-1","Article"
"Verification, Validation, and Accreditation","Verification and Validation in Systems Engineering","","","","10.1007/978-3-642-15228-3_5","Dr. Mourad DebbabiDr. Fawzi HassaïneDr. Yosr JarrayaAndrei SoeanuLuay Alawneh","2010","http://link.springer.com/chapter/10.1007/978-3-642-15228-3_5","Chapter"
"Software health management: a necessity for safety critical systems","Innovations in Systems and Software Engineering","","9","4","10.1007/s11334-013-0212-0","Ashok N. SrivastavaJohann Schumann","2013","http://link.springer.com/article/10.1007/s11334-013-0212-0","Article"
"Evolutionary Risk Analysis: Expert Judgement","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-24270-0_8","Massimo FeliciValentino MeduriBjørnar SolhaugAlessandra Tedeschi","2011","http://link.springer.com/chapter/10.1007/978-3-642-24270-0_8","Chapter"
"UML Extensions for Service-Oriented Systems","Rigorous Software Engineering for Service-Oriented Systems","","","","10.1007/978-3-642-20401-2_4","Howard FosterLászló GönczyNora KochPhilip MayerCarlo MontangeroDániel Varró","2011","http://link.springer.com/chapter/10.1007/978-3-642-20401-2_4","Chapter"
"The Embedded Systems Design Challenge","FM 2006: Formal Methods","","","","10.1007/11813040_1","Thomas A. HenzingerJoseph Sifakis","2006","http://link.springer.com/chapter/10.1007/11813040_1","Chapter"
"An optimization approach on the integration of multiple images for classification","KI-98: Advances in Artificial Intelligence","","","","10.1007/BFb0095444","O. HerzogA. Günter","1998","http://link.springer.com/chapter/10.1007/BFb0095444","Chapter"
"Vulnerability Assessment Methods – A Review","Advances in Network Security and Applications","","","","10.1007/978-3-642-22540-6_1","Hiran V. Nath","2011","http://link.springer.com/chapter/10.1007/978-3-642-22540-6_1","Chapter"
"The CORAS Tool for Security Risk Analysis","Trust Management","","","","10.1007/11429760_30","Fredrik VraalsenFolker den BraberMass Soldal LundKetil Stølen","2005","http://link.springer.com/chapter/10.1007/11429760_30","Chapter"
"Security Requirements Management in Software Product Line Engineering","e-Business and Telecommunications","","","","10.1007/978-3-642-05197-5_18","Daniel MelladoEduardo Fernández-MedinaMario Piattini","2009","http://link.springer.com/chapter/10.1007/978-3-642-05197-5_18","Chapter"
"A Look at Misuse Cases for Safety Concerns","Situational Method Engineering: Fundamentals and Experiences","","","","10.1007/978-0-387-73947-2_20","Guttorm Sindre","2007","http://link.springer.com/chapter/10.1007/978-0-387-73947-2_20","Chapter"
"Investigating the usability of real-time scheduling theory with the Cheddar project","Real-Time Systems","","43","3","10.1007/s11241-009-9072-y","Frank SinghoffAlain PlantecPierre DissauxJérôme Legrand","2009","http://link.springer.com/article/10.1007/s11241-009-9072-y","Article"
"Fault Tolerance Requirements Analysis Using Deviations in the CORRECT Development Process","Methods, Models and Tools for Fault Tolerance","","","","10.1007/978-3-642-00867-2_13","Andrey BerlizevNicolas Guelfi","2009","http://link.springer.com/chapter/10.1007/978-3-642-00867-2_13","Chapter"
"A modelling and simulation based process for dependable systems design","Software & Systems Modeling","","6","4","10.1007/s10270-007-0050-3","Miriam ZiaSadaf MustafizHans VangheluweJörg Kienzle","2007","http://link.springer.com/article/10.1007/s10270-007-0050-3","Article"
"Transformation challenges: from software models to performance models","Software & Systems Modeling","","13","4","10.1007/s10270-013-0385-x","Murray WoodsideDorina C. PetriuJosé MerseguerDorin B. PetriuMohammad Alhaj","2014","http://link.springer.com/article/10.1007/s10270-013-0385-x","Article"
"An experimental evaluation of a higher-ordered-typed-functional specification-based test-generation technique","Empirical Software Engineering","","11","2","10.1007/s10664-006-6401-9","Avik SinhaCarol Smidts","2006","http://link.springer.com/article/10.1007/s10664-006-6401-9","Article"
"Reactive Security for Smart Grids Using Models@run.time-Based Simulation and Reasoning","Smart Grid Security","","","","10.1007/978-3-319-10329-7_9","Thomas HartmannFrancois FouquetJacques KleinGregory NainYves Le Traon","2014","http://link.springer.com/chapter/10.1007/978-3-319-10329-7_9","Chapter"
"Metamodel-Based Information Integration at Industrial Scale","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-16129-2_12","Stefan BergerGeorg GrossmannMarkus StumptnerMichael Schrefl","2010","http://link.springer.com/chapter/10.1007/978-3-642-16129-2_12","Chapter"
"Software Assumptions Failure Tolerance: Role, Strategies, and Visions","Architecting Dependable Systems VII","","","","10.1007/978-3-642-17245-8_11","Vincenzo De Florio","2010","http://link.springer.com/chapter/10.1007/978-3-642-17245-8_11","Chapter"
"VERTAF/Multi-Core: A SysML-Based Application Framework for Multi-Core Embedded Software Development","Journal of Computer Science and Technology","","26","3","10.1007/s11390-011-1146-3","Chao-Sheng LinChun-Hsien LuShang-Wei LinYean-Ru ChenPao-Ann Hsiung","2011","http://link.springer.com/article/10.1007/s11390-011-1146-3","Article"
"Methods for the Design and Development","Design Methodology for Intelligent Technical Systems","","","","10.1007/978-3-642-45435-6_5","Harald AnackerMichael DellnitzKathrin FlaßkampStefan GroesbrinkPhilip HartmannChristian HeinzemannChristian HorenkampBernd KleinjohannLisa KleinjohannSebastian KorfMartin KrügerWolfgang MüllerSina Ober-BlöbaumSimon OberthürMario PorrmannClaudia Priesterjahn","2014","http://link.springer.com/chapter/10.1007/978-3-642-45435-6_5","Chapter"
"Knowledge Engineering in Business Process Management","Handbook on Business Process Management 2","","","","10.1007/978-3-642-01982-1_22","Dimitris KaragiannisRobert Woitsch","2010","http://link.springer.com/chapter/10.1007/978-3-642-01982-1_22","Chapter"
"An Industrial Application of Robustness Testing Using Aspect-Oriented Modeling, UML/MARTE, and Search Algorithms","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-24485-8_9","Shaukat AliLionel C. BriandAndrea ArcuriSuneth Walawege","2011","http://link.springer.com/chapter/10.1007/978-3-642-24485-8_9","Chapter"
"Problem-Specific Search Operators for Metaheuristic Software Architecture Design","Search Based Software Engineering","","","","10.1007/978-3-642-33119-0_20","Ramin EtemaadiMichael T. M. EmmerichMichel R. V. Chaudron","2012","http://link.springer.com/chapter/10.1007/978-3-642-33119-0_20","Chapter"
"Modeling and Analyzing Wireless Sensor Networks with VeriSensor: An Integrated Workflow","Transactions on Petri Nets and Other Models of Concurrency VIII","","","","10.1007/978-3-642-40465-8_2","Yann Ben MaissaFabrice KordonSalma MoulineYann Thierry-Mieg","2013","http://link.springer.com/chapter/10.1007/978-3-642-40465-8_2","Chapter"
"Temporal Constraint Support for OCL","Software Language Engineering","","","","10.1007/978-3-642-36089-3_6","Bilal KansoSafouan Taha","2013","http://link.springer.com/chapter/10.1007/978-3-642-36089-3_6","Chapter"
"Current Design Practice and Needs in Selected Industrial Sectors","Embedded Systems Design","","","","10.1007/978-3-540-31973-3_12","Bruno BouyssounouseJoseph Sifakis","2005","http://link.springer.com/chapter/10.1007/978-3-540-31973-3_12","Chapter"
"Industrial Challenges in the Composition of Embedded Systems","Composition of Embedded Systems. Scientific and Industrial Issues","","","","10.1007/978-3-540-77419-8_6","David CormanJames Paunicka","2008","http://link.springer.com/chapter/10.1007/978-3-540-77419-8_6","Chapter"
"Establishing flight software reliability: testing, model checking, constraint-solving, monitoring and learning","Annals of Mathematics and Artificial Intelligence","","70","4","10.1007/s10472-014-9408-8","Alex GroceKlaus HavelundGerard HolzmannRajeev JoshiRu-Gang Xu","2014","http://link.springer.com/article/10.1007/s10472-014-9408-8","Article"
"Big Data: Unleashing information","Journal of Systems Science and Systems Engineering","","22","2","10.1007/s11518-013-5219-4","James M. Tien","2013","http://link.springer.com/article/10.1007/s11518-013-5219-4","Article"
"A Model Transformation Semantics and Analysis Methodology for SecureUML","Model Driven Engineering Languages and Systems","","","","10.1007/11880240_22","Achim D. BruckerJürgen DoserBurkhart Wolff","2006","http://link.springer.com/chapter/10.1007/11880240_22","Chapter"
"Towards Improving Dependability of Automotive Systems by Using the EAST-ADL Architecture Description Language","Architecting Dependable Systems IV","","","","10.1007/978-3-540-74035-3_3","Philippe CuenotDeJiu ChenSébastien GérardHenrik LönnMark-Oliver ReiserDavid ServatRamin Tavakoli KolagariMartin TörngrenMatthias Weber","2007","http://link.springer.com/chapter/10.1007/978-3-540-74035-3_3","Chapter"
"Dependability Concepts","Model-Driven Dependability Assessment of Software Systems","","","","10.1007/978-3-642-39512-3_2","Simona BernardiJosé MerseguerDorina Corina Petriu","2013","http://link.springer.com/chapter/10.1007/978-3-642-39512-3_2","Chapter"
"If You’re Not Modeling, You’re Just Programming: Modeling Throughout an Undergraduate Software Engineering Program","Models in Software Engineering","","","","10.1007/978-3-540-69489-2_36","James Vallino","2007","http://link.springer.com/chapter/10.1007/978-3-540-69489-2_36","Chapter"
"Introducing Mitigation Use Cases to Enhance the Scope of Test Cases","Advances in Information and Computer Security","","","","10.1007/978-3-642-16825-3_23","Lasse HarjumaaIlkka Tervonen","2010","http://link.springer.com/chapter/10.1007/978-3-642-16825-3_23","Chapter"
"Summary of the Educator’s Symposium","Satellite Events at the MoDELS 2005 Conference","","","","10.1007/11663430_31","Holger GiesePascal RoquesTimothy C. Lethbridge","2006","http://link.springer.com/chapter/10.1007/11663430_31","Chapter"
"A Methodology for Standards-Driven Metamodel Fusion","Model and Data Engineering","","","","10.1007/978-3-642-24443-8_28","András PatariczaLászló GönczyAndrás KöviZoltán Szatmári","2011","http://link.springer.com/chapter/10.1007/978-3-642-24443-8_28","Chapter"
"Security Software Formal Modeling and Verification Method Based on UML and Z","Contemporary Research on E-business Technology and Strategy","","","","10.1007/978-3-642-34447-3_35","Kunyu CaoXiaohong LiJinliang Xing","2012","http://link.springer.com/chapter/10.1007/978-3-642-34447-3_35","Chapter"
"Formal specification of non-functional properties of component-based software systems","Software & Systems Modeling","","9","2","10.1007/s10270-009-0115-6","Steffen Zschaler","2010","http://link.springer.com/article/10.1007/s10270-009-0115-6","Article"
"Automatically Generated Safety Mechanisms from Semi-Formal Software Safety Requirements","Computer Safety, Reliability, and Security","","","","10.1007/978-3-319-10506-2_19","Raphael Fonte Boa TrindadeLukas BulwahnChristoph Ainhauser","2014","http://link.springer.com/chapter/10.1007/978-3-319-10506-2_19","Chapter"
"Design Thinking","Understanding Innovation","","","","10.1007/978-3-642-13757-0","Christoph MeinelLarry LeiferHasso Plattner","2011","http://link.springer.com/book/10.1007/978-3-642-13757-0","Book"
"Enhancing Architecture Design Decisions Evolution with Group Decision Making Principles","Software Engineering for Resilient Systems","","","","10.1007/978-3-319-12241-0_2","Ivano MalavoltaHenry MucciniSmrithi Rekha V.","2014","http://link.springer.com/chapter/10.1007/978-3-319-12241-0_2","Chapter"
"Self-Adaptivity from Different Application Perspectives","Software Engineering for Self-Adaptive Systems II","","","","10.1007/978-3-642-35813-5_15","Kurt Geihs","2013","http://link.springer.com/chapter/10.1007/978-3-642-35813-5_15","Chapter"
"From the How to the What","Verified Software: Theories, Tools, Experiments","","","","10.1007/978-3-540-69149-5_48","Tiziana MargariaBernhard Steffen","2008","http://link.springer.com/chapter/10.1007/978-3-540-69149-5_48","Chapter"
"Plan It! Automated Security Testing Based on Planning","Testing Software and Systems","","","","10.1007/978-3-662-44857-1_4","Franz WotawaJosip Bozic","2014","http://link.springer.com/chapter/10.1007/978-3-662-44857-1_4","Chapter"
"Approaches to Specification and Enforcement of Security Policies","Information Flow Based Security Control Beyond RBAC","","","","10.1007/978-3-8348-2618-3_3","Dr. Klaus-Peter Fischer-Hellmann","2012","http://link.springer.com/chapter/10.1007/978-3-8348-2618-3_3","Chapter"
"Approaches for the combined use of risk analysis and testing: a systematic literature review","International Journal on Software Tools for Technology Transfer","","16","5","10.1007/s10009-014-0330-5","Gencer ErdoganYan LiRagnhild Kobro RundeFredrik SeehusenKetil Stølen","2014","http://link.springer.com/article/10.1007/s10009-014-0330-5","Article"
"A Simulation Approach for Performance Validation during Embedded Systems Design","Leveraging Applications of Formal Methods, Verification and Validation","","","","10.1007/978-3-540-88479-8_27","Zhonglei WangWolfgang HaberlAndreas HerkersdorfMartin Wechs","2008","http://link.springer.com/chapter/10.1007/978-3-540-88479-8_27","Chapter"
"Service-oriented middleware for the Future Internet: state of the art and research directions","Journal of Internet Services and Applications","","2","1","10.1007/s13174-011-0021-3","Valérie IssarnyNikolaos GeorgantasSara HachemApostolos ZarrasPanos VassiliadistMarco AutiliMarco Aurélio GerosaAmira Ben Hamida","2011","http://link.springer.com/article/10.1007/s13174-011-0021-3","Article"
"Recommendations for Action","Cyber-Physical Systems","","","","10.1007/978-3-642-29090-9_8","","2011","http://link.springer.com/chapter/10.1007/978-3-642-29090-9_8","Chapter"
"Areas of Application","Business Processes for Business Communities","","","","10.1007/978-3-642-24791-0_5","Dr. Frank SchönthalerProf. Dr. Gottfried VossenProf. Dr. Andreas OberweisThomas Karle","2012","http://link.springer.com/chapter/10.1007/978-3-642-24791-0_5","Chapter"
"Mobile Information Systems – Research Challenges on the Conceptual and Logical Level","Advanced Conceptual Modeling Techniques","","","","10.1007/978-3-540-45275-1_11","John KrogstieKalle LyytinenAndreas OpdahlBarbara PerniciKeng SiauKari Smolander","2003","http://link.springer.com/chapter/10.1007/978-3-540-45275-1_11","Chapter"
"Lifelong Automated Testing: A Collaborative Framework for Checking Industrial Products Along Their Lifecycle","Digital Information and Communication Technology and Its Applications","","","","10.1007/978-3-642-22027-2_8","Thomas TamisierFernand Feltz","2011","http://link.springer.com/chapter/10.1007/978-3-642-22027-2_8","Chapter"
"Formal verification of security protocol implementations: a survey","Formal Aspects of Computing","","26","1","10.1007/s00165-012-0269-9","Matteo AvalleAlfredo PirontiRiccardo Sisto","2014","http://link.springer.com/article/10.1007/s00165-012-0269-9","Article"
"Interoperability Constraints and Requirements Formal Modelling and Checking Framework","Advances in Production Management Systems. New Challenges, New Approaches","","","","10.1007/978-3-642-16358-6_28","Vincent ChapurlatMatthieu Roque","2010","http://link.springer.com/chapter/10.1007/978-3-642-16358-6_28","Chapter"
"Business Intelligence","Lecture Notes in Business Information Processing","","","","10.1007/978-3-642-27358-2","Marie-Aude AufaureEsteban Zimányi","2012","http://link.springer.com/book/10.1007/978-3-642-27358-2","Book"
"Revisiting the similar process to engineer the contemporary systems","Journal of Systems Science and Systems Engineering","","19","3","10.1007/s11518-010-5144-8","Ana Luísa RamosJosé Vasconcelos FerreiraJaume Barceló","2010","http://link.springer.com/article/10.1007/s11518-010-5144-8","Article"
"Towards an Integration of Standard Component-Based Safety Evaluation Techniques with SaveCCM","Quality of Software Architectures","","","","10.1007/11921998_17","Lars Grunske","2006","http://link.springer.com/chapter/10.1007/11921998_17","Chapter"
"Using Filtered Cartesian Flattening and Microrebooting to Build Enterprise Applications with Self-adaptive Healing","Software Engineering for Self-Adaptive Systems","","","","10.1007/978-3-642-02161-9_13","J. WhiteB. DoughertyH. D. StrowdD. C. Schmidt","2009","http://link.springer.com/chapter/10.1007/978-3-642-02161-9_13","Chapter"
"Formal verification of fault tolerance in safety-critical reconfigurable modules","International Journal on Software Tools for Technology Transfer","","7","3","10.1007/s10009-004-0152-y","Jerker HammarbergSimin Nadjm-Tehrani","2005","http://link.springer.com/article/10.1007/s10009-004-0152-y","Article"
"A formal approach to model refactoring and model refinement","Software & Systems Modeling","","6","2","10.1007/s10270-006-0025-9","Ragnhild Van Der StraetenViviane JonckersTom Mens","2007","http://link.springer.com/article/10.1007/s10270-006-0025-9","Article"
"R&D challenges and solutions for highly complex distributed systems: a middleware perspective","Journal of Internet Services and Applications","","3","1","10.1007/s13174-011-0051-x","Jules WhiteBrian DoughertyRichard SchantzDouglas C. SchmidtAdam PorterAngelo Corsaro","2012","http://link.springer.com/article/10.1007/s13174-011-0051-x","Article"
"Development of High-Integrity Software Product Lines Using Model Transformation","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-15651-9_29","Stuart HutchessonJohn McDermid","2010","http://link.springer.com/chapter/10.1007/978-3-642-15651-9_29","Chapter"
"Automatic Synthesis and Deployment of Intensional Kahn Process Networks","Grid and Distributed Computing","","","","10.1007/978-3-642-10549-4_10","Manuel PeraltaSupratik MukhopadhyayRamesh Bharadwaj","2009","http://link.springer.com/chapter/10.1007/978-3-642-10549-4_10","Chapter"
"Communications Engineering and Computer Science","Masters Theses in the Pure and Applied Sciences","","","","10.1007/978-1-4615-2453-3_10","Wade H. Shafer","1993","http://link.springer.com/chapter/10.1007/978-1-4615-2453-3_10","Chapter"
"Aspect-oriented design and implementation of context-aware pervasive applications","Innovations in Systems and Software Engineering","","5","1","10.1007/s11334-009-0081-8","Lidia FuentesNadia GámezPablo Sánchez","2009","http://link.springer.com/article/10.1007/s11334-009-0081-8","Article"
"Poster Session CAR","International Journal of Computer Assisted Radiology and Surgery","","2","1","10.1007/s11548-007-0113-5","","2007","http://link.springer.com/article/10.1007/s11548-007-0113-5","Article"
"On theorem prover-based testing","Formal Aspects of Computing","","25","5","10.1007/s00165-012-0222-y","Achim D. BruckerBurkhart Wolff","2013","http://link.springer.com/article/10.1007/s00165-012-0222-y","Article"
"Modeling UML sequence diagrams using extended Petri nets","Telecommunication Systems","","51","2 - 3","10.1007/s11235-011-9424-5","Nianhua YangHuiqun YuHua SunZhilin Qian","2012","http://link.springer.com/article/10.1007/s11235-011-9424-5","Article"
"Development of Self-optimizing Systems","Design Methodology for Intelligent Technical Systems","","","","10.1007/978-3-642-45435-6_3","Jürgen GausemeierSebastian KorfMario PorrmannKatharina StahlOliver SudmannMareen Vaßholz","2014","http://link.springer.com/chapter/10.1007/978-3-642-45435-6_3","Chapter"
"A Software and System Modeling Facility for Vehicle Environment Interactions","Model-Driven Development of Reliable Automotive Services","","","","10.1007/978-3-540-70930-5_3","Edward NelsonHenry Huang","2008","http://link.springer.com/chapter/10.1007/978-3-540-70930-5_3","Chapter"
"An optimization based design for integrated dependable real-time embedded systems","Design Automation for Embedded Systems","","13","4","10.1007/s10617-009-9041-7","Shariful IslamNeeraj SuriAndrás BaloghGyörgy CsertánAndrás Pataricza","2009","http://link.springer.com/article/10.1007/s10617-009-9041-7","Article"
"Aspect-Oriented QoS Modeling of Cyber-Physical Systems by the Extension of Architecture Analysis and Design Language","Computer Engineering and Networking","","","","10.1007/978-3-319-01766-2_128","Lichen ZhangShuguang Feng","2014","http://link.springer.com/chapter/10.1007/978-3-319-01766-2_128","Chapter"
"Templates in Domain Modeling – A Survey","The Evolution of Conceptual Modeling","","","","10.1007/978-3-642-17505-3_2","Christian KopHeinrich C. Mayr","2011","http://link.springer.com/chapter/10.1007/978-3-642-17505-3_2","Chapter"
"Metamodel Comparison and Model Comparison for Safety Assurance","Computer Safety, Reliability, and Security","","","","10.1007/978-3-319-10557-4_46","Yaping LuoLuc EngelenMark van den Brand","2014","http://link.springer.com/chapter/10.1007/978-3-319-10557-4_46","Chapter"
"A Method for Predicting Reliability and Availability at the Architecture Level","Software Product Lines","","","","10.1007/978-3-540-33253-4_10","Anne Immonen","2006","http://link.springer.com/chapter/10.1007/978-3-540-33253-4_10","Chapter"
"Quality Prediction of Service Compositions through Probabilistic Model Checking","Quality of Software Architectures. Models and Architectures","","","","10.1007/978-3-540-87879-7_8","Stefano GallottiCarlo GhezziRaffaela MirandolaGiordano Tamburrelli","2008","http://link.springer.com/chapter/10.1007/978-3-540-87879-7_8","Chapter"
"The Rewriting Logic Semantics Project: A Progress Report","Fundamentals of Computation Theory","","","","10.1007/978-3-642-22953-4_1","José MeseguerGrigore Roşu","2011","http://link.springer.com/chapter/10.1007/978-3-642-22953-4_1","Chapter"
